genre,release_date,popularity,danceability
blues,1950,57.0,0.455
blues,1956,22.333333333333332,0.47666666666666674
blues,1957,0.0,0.283
blues,1958,0.0,0.465
blues,1959,42.5,0.50525
blues,1962,58.0,0.821
blues,1965,0.5,0.491
blues,1967,51.2,0.5900000000000001
blues,1968,55.5,0.5865
blues,1969,38.666666666666664,0.5126666666666667
blues,1970,55.0,0.331
blues,1971,57.5,0.52625
blues,1972,20.5,0.4495
blues,1973,68.0,0.565
blues,1974,58.333333333333336,0.6233333333333334
blues,1975,32.5,0.52
blues,1977,51.0,0.392
blues,1980,1.0,0.586
blues,1981,25.0,0.476
blues,1982,71.0,0.459
blues,1983,61.5,0.581
blues,1984,27.5,0.5225
blues,1985,1.0,0.419
blues,1986,0.0,0.6205
blues,1987,43.0,0.5325
blues,1988,15.666666666666666,0.46399999999999997
blues,1989,56.5,0.5175000000000001
blues,1990,35.0,0.3705
blues,1993,14.5,0.49049999999999994
blues,1995,57.0,0.455
blues,1997,37.0,0.722
blues,2001,0.0,0.626
blues,2002,21.875,0.488125
blues,2003,73.5,0.7184999999999999
blues,2004,61.0,0.549
blues,2005,33.0,0.4665
blues,2006,47.75,0.57025
blues,2007,32.333333333333336,0.6133333333333334
blues,2008,33.5,0.41200000000000003
blues,2009,38.5,0.5845
blues,2010,40.333333333333336,0.6073333333333334
blues,2011,58.2,0.4426
blues,2012,56.0,0.361
blues,2013,27.5,0.4705
blues,2014,40.0,0.5384
blues,2015,44.8,0.453
blues,2016,38.875,0.5387500000000001
blues,2017,62.5,0.5345
blues,2018,37.75,0.588375
blues,2019,46.6,0.44720000000000004
country,1950,21.5,0.6351666666666667
country,1954,18.333333333333332,0.4586666666666666
country,1955,16.0,0.55
country,1956,12.428571428571429,0.4795714285714286
country,1957,13.0,0.371
country,1958,28.5,0.523
country,1962,13.0,0.5636666666666666
country,1963,14.8,0.518
country,1964,17.666666666666668,0.6111111111111112
country,1965,29.5,0.4615
country,1966,16.125,0.540125
country,1967,30.0,0.4375
country,1969,11.0,0.44200000000000006
country,1970,51.0,0.42875
country,1971,26.0,0.46199999999999997
country,1972,43.666666666666664,0.6703333333333333
country,1973,75.5,0.3355
country,1974,2.0,0.614
country,1975,53.666666666666664,0.6136666666666667
country,1976,33.0,0.5720000000000001
country,1977,28.0,0.634
country,1978,25.2,0.6364
country,1980,23.5,0.520625
country,1981,50.0,0.5495
country,1983,11.0,0.487
country,1985,14.5,0.5463333333333333
country,1992,12.166666666666666,0.5098333333333334
country,1993,29.25,0.4775
country,1997,22.0,0.49
country,1998,58.0,0.671
country,1999,39.0,0.59
country,2001,30.5,0.5285
country,2002,74.0,0.534
country,2004,39.333333333333336,0.5896666666666667
country,2005,0.0,0.643
country,2006,35.75,0.55675
country,2007,2.0,0.579
country,2008,42.0,0.6145
country,2009,41.0,0.593
country,2010,52.0,0.557
country,2013,46.5,0.41500000000000004
country,2014,42.0,0.47
country,2016,0.0,0.377
country,2017,27.75,0.60225
country,2018,37.25,0.46425
country,2019,72.5,0.5965
hip hop,2007,63.0,0.731
hip hop,2015,40.333333333333336,0.7646666666666667
hip hop,2017,0.0,0.7846
hip hop,2018,36.0,0.8200000000000001
hip hop,2019,71.33333333333333,0.8866666666666667
jazz,1953,39.0,0.653
jazz,1954,0.0,0.383
jazz,1956,66.0,0.532
jazz,1959,3.0,0.484
jazz,1960,1.0,0.25
jazz,1961,20.0,0.5063333333333334
jazz,1965,0.0,0.39
jazz,1966,0.0,0.632
jazz,1968,63.0,0.462
jazz,1969,55.0,0.281
jazz,1970,50.0,0.765
jazz,1973,41.5,0.377
jazz,1976,30.0,0.692
jazz,1977,13.0,0.516
jazz,1978,29.0,0.598
jazz,1979,27.5,0.544
jazz,1980,29.0,0.788
jazz,1983,57.0,0.547
jazz,1985,71.0,0.553
jazz,1986,0.0,0.334
jazz,1989,42.5,0.45099999999999996
jazz,1992,0.0,0.425
jazz,1994,0.0,0.23
jazz,1996,51.0,0.628
jazz,1997,42.5,0.6885
jazz,1998,40.5,0.5525
jazz,2000,49.5,0.6565000000000001
jazz,2001,35.0,0.6863333333333334
jazz,2002,41.714285714285715,0.6028571428571429
jazz,2003,55.0,0.752
jazz,2004,45.0,0.5335
jazz,2005,41.0,0.4535
jazz,2006,40.5,0.607
jazz,2007,31.666666666666668,0.401
jazz,2008,53.5,0.30225
jazz,2009,49.333333333333336,0.6996666666666668
jazz,2010,38.0,0.626
jazz,2011,8.666666666666666,0.5926666666666667
jazz,2013,48.0,0.74375
jazz,2014,48.0,0.5535
jazz,2015,55.0,0.5840000000000001
jazz,2016,48.0,0.264
pop,1954,50.0,0.418
pop,1958,52.0,0.626
pop,1959,54.1,0.4523
pop,1960,43.0,0.6755
pop,1961,58.25,0.5519999999999999
pop,1962,62.75,0.46375
pop,1963,36.5,0.527875
pop,1964,31.875,0.56375
pop,1965,40.25,0.391
pop,1966,33.57142857142857,0.5101428571428571
pop,1967,53.2,0.4558
pop,1968,43.5,0.6065
pop,1969,73.0,0.404
pop,1970,44.5,0.5934999999999999
pop,1971,33.0,0.593
pop,1972,38.75,0.49825
pop,1973,64.75,0.55625
pop,1974,39.5,0.35775
pop,1976,31.857142857142858,0.6242857142857143
pop,1977,32.25,0.58175
pop,1978,44.4,0.5894
pop,1979,53.5,0.5006666666666667
pop,1980,43.07692307692308,0.5925384615384616
pop,1981,35.666666666666664,0.5474444444444444
pop,1982,27.833333333333332,0.6841666666666667
pop,1983,44.1,0.6082
pop,1984,44.53846153846154,0.6623076923076923
pop,1985,37.0,0.585
pop,1986,43.22222222222222,0.45933333333333337
pop,1987,36.09090909090909,0.6303636363636363
pop,1988,47.0,0.620090909090909
pop,1989,37.666666666666664,0.6278888888888888
pop,1990,63.0,0.5564
pop,1991,48.5,0.5946
pop,1992,60.25,0.54525
pop,1993,53.916666666666664,0.5789166666666666
pop,1994,42.5,0.47225
pop,1995,47.7,0.5882
pop,1996,44.6,0.5339
pop,1997,45.46153846153846,0.5563076923076923
pop,1998,48.4,0.5744
pop,1999,45.92307692307692,0.49246153846153845
pop,2000,50.857142857142854,0.5401428571428571
pop,2001,63.32,0.47240000000000004
pop,2002,37.75,0.543
pop,2003,47.0625,0.510875
pop,2004,62.72222222222222,0.5174444444444445
pop,2005,58.23529411764706,0.512
pop,2006,58.470588235294116,0.45055882352941173
pop,2007,59.526315789473685,0.4868947368421052
pop,2008,46.583333333333336,0.5779166666666666
pop,2009,56.61538461538461,0.4458076923076923
pop,2010,61.15384615384615,0.553
pop,2011,44.7,0.515
pop,2012,61.0,0.5544615384615385
pop,2013,57.375,0.57175
pop,2014,64.13636363636364,0.5391818181818182
pop,2015,59.46875,0.58325
pop,2016,51.583333333333336,0.62175
pop,2017,63.85,0.6291
pop,2018,57.535714285714285,0.6468571428571428
pop,2019,46.875,0.6864375
reggae,1970,19.0,0.679
reggae,1973,60.0,0.801
reggae,1976,54.0,0.703
reggae,1982,64.0,0.824
reggae,1983,72.0,0.929
reggae,1984,27.666666666666668,0.8243333333333333
reggae,1985,36.0,0.738
reggae,1992,44.0,0.787
reggae,1993,70.0,0.642
reggae,1994,44.666666666666664,0.7680000000000001
reggae,1997,21.0,0.597
reggae,1998,41.5,0.8109999999999999
reggae,1999,25.0,0.806
reggae,2000,26.0,0.927
reggae,2001,20.0,0.678
reggae,2002,20.0,0.799
reggae,2003,18.0,0.443
reggae,2005,28.5,0.721
reggae,2006,27.5,0.7495
reggae,2007,33.666666666666664,0.7353333333333333
reggae,2008,26.0,0.7055
reggae,2009,36.0,0.6856666666666666
reggae,2010,72.0,0.787
reggae,2011,37.75,0.788
reggae,2014,0.0,0.528
reggae,2015,19.0,0.656
reggae,2016,46.0,0.585
reggae,2019,34.333333333333336,0.7353333333333333
rock,1956,60.5,0.531
rock,1957,51.0,0.54
rock,1958,64.0,0.54425
rock,1959,55.5,0.6145
rock,1960,53.0,0.5213333333333333
rock,1961,65.0,0.4865
rock,1962,48.0,0.56
rock,1963,43.333333333333336,0.524
rock,1964,21.0,0.5569999999999999
rock,1966,32.5,0.60175
rock,1967,55.0,0.47975
rock,1968,64.0,0.42933333333333334
rock,1969,67.0,0.56925
rock,1970,59.666666666666664,0.5295
rock,1971,49.25,0.43074999999999997
rock,1972,45.2,0.5352
rock,1973,64.77777777777777,0.4315555555555555
rock,1974,62.0,0.424
rock,1975,75.0,0.653
rock,1976,75.5,0.4165
rock,1977,69.0,0.4996666666666667
rock,1978,37.333333333333336,0.35200000000000004
rock,1979,54.81818181818182,0.5261818181818182
rock,1980,58.0,0.5121
rock,1981,45.666666666666664,0.42366666666666664
rock,1982,54.5,0.5037499999999999
rock,1983,58.916666666666664,0.48825
rock,1985,28.6,0.4324
rock,1986,46.25,0.388375
rock,1987,46.375,0.443125
rock,1988,38.5,0.449
rock,1989,33.0,0.4131428571428572
rock,1990,58.44444444444444,0.4013333333333333
rock,1991,55.888888888888886,0.3763888888888889
rock,1992,43.833333333333336,0.4174166666666667
rock,1993,60.6,0.3968
rock,1994,54.46153846153846,0.43930769230769234
rock,1995,28.8,0.4702
rock,1996,52.0,0.3995714285714286
rock,1997,51.30769230769231,0.4579230769230769
rock,1998,43.22222222222222,0.43722222222222223
rock,1999,64.93333333333334,0.5070666666666667
rock,2000,60.27272727272727,0.5623636363636364
rock,2001,54.0,0.4855909090909091
rock,2002,54.6,0.5134000000000001
rock,2003,53.5,0.4515833333333334
rock,2004,61.18181818181818,0.43454545454545457
rock,2005,58.294117647058826,0.47482352941176464
rock,2006,61.6,0.4987333333333333
rock,2007,58.1875,0.4835
rock,2008,56.785714285714285,0.4287142857142857
rock,2009,60.7,0.40750000000000003
rock,2010,42.125,0.477625
rock,2011,55.42857142857143,0.46728571428571425
rock,2012,61.421052631578945,0.4823684210526316
rock,2013,61.25,0.5254000000000001
rock,2014,62.333333333333336,0.5150666666666667
rock,2015,58.785714285714285,0.47800000000000004
rock,2016,56.1578947368421,0.5347368421052632
rock,2017,58.892857142857146,0.5520714285714285
rock,2018,56.142857142857146,0.4815
rock,2019,53.666666666666664,0.472
